Dates,Depression Score,OCD Score,Anxiety Score
6/23/17 6:55,0,0,0
6/23/17 6:56,7.692307692,0,0
6/23/17 6:57,0,0,0
6/23/17 7:05,5.882352941,11.76470588,0
6/23/17 7:21,10,0,10
6/23/17 9:44,5.882352941,5.882352941,0
6/23/17 9:47,5.555555556,5.555555556,0
6/23/17 9:51,0,0,0
6/23/17 18:54,4,0,8
6/23/17 22:05,0,0,0
6/23/17 22:57,10.52631579,15.78947368,10.52631579
6/24/17 8:18,0,0,0
6/24/17 12:41,0,5.555555556,0
6/24/17 13:11,0,9.090909091,0
6/24/17 15:11,0,0,0
6/24/17 20:48,0,0,0
6/25/17 11:26,0,0,0
6/25/17 11:36,0,9.523809524,0
6/25/17 11:48,0,0,0
6/25/17 13:36,5,0,0
6/25/17 14:17,0,0,0
6/25/17 16:44,11.53846154,7.692307692,3.846153846
6/25/17 17:22,16.66666667,3.333333333,0
6/25/17 19:02,4.347826087,4.347826087,0
6/25/17 19:13,0,0,0
6/25/17 19:14,0,0,0
6/25/17 19:17,0,0,0
6/25/17 19:19,0,0,0
6/25/17 19:21,0,12.5,0
6/25/17 19:26,0,0,0
6/25/17 19:38,0,0,0
6/25/17 20:23,0,0,0
6/25/17 20:25,0,0,0
6/25/17 20:26,0,0,0
6/25/17 20:57,5.263157895,5.263157895,0
6/25/17 20:59,0,22.22222222,0
6/26/17 7:29,0,0,0
6/26/17 20:15,9.090909091,0,0
6/27/17 10:37,0,0,0
6/27/17 11:31,0,5.882352941,0
6/27/17 14:59,6.25,0,0
6/27/17 17:54,0,0,0
6/27/17 21:30,4.545454545,4.545454545,0
6/28/17 5:35,7.692307692,7.692307692,0
6/28/17 6:47,3.846153846,3.846153846,0
6/28/17 7:30,24.28571429,10,14.28571429
6/28/17 7:33,4,8,0
6/28/17 7:51,6.25,6.25,0
6/28/17 9:44,6.25,6.25,6.25
6/28/17 10:11,8.695652174,0,0
6/28/17 15:15,6.25,6.25,0
6/28/17 15:35,0,0,0
6/28/17 15:37,0,7.692307692,0
6/28/17 15:55,12.5,6.25,12.5
6/28/17 16:12,12.5,12.5,0
6/28/17 17:51,0,6.666666667,0
6/28/17 17:54,11.11111111,0,0
6/28/17 18:08,4.761904762,4.761904762,0
6/28/17 18:31,0,0,0
6/28/17 18:33,6.666666667,0,0
6/28/17 18:33,11.11111111,22.22222222,0
6/28/17 19:23,0,0,0
6/28/17 19:29,0,0,0
6/28/17 21:03,15,10,0
6/29/17 6:35,5.882352941,11.76470588,0
6/29/17 6:42,5.882352941,11.76470588,0
6/29/17 6:47,0,0,0
6/29/17 6:56,5.882352941,5.882352941,0
6/29/17 6:59,6.666666667,0,0
6/29/17 8:02,14.28571429,14.28571429,0
6/29/17 8:03,0,16.66666667,0
6/29/17 8:04,0,0,0
6/29/17 10:02,5.555555556,5.555555556,0
6/29/17 10:05,5.882352941,5.882352941,0
6/29/17 10:32,5.555555556,0,0
6/29/17 16:11,0,0,0
6/29/17 16:17,7.692307692,7.692307692,0
6/29/17 16:20,5.555555556,0,0
6/29/17 18:02,7.692307692,7.692307692,11.53846154
6/29/17 18:04,0,0,0
6/29/17 18:47,0,9.090909091,0
6/29/17 19:11,7.142857143,7.142857143,0
6/29/17 19:26,0,0,0
6/29/17 19:34,0,0,0
6/29/17 19:35,0,0,0
6/29/17 20:14,0,0,0
6/29/17 20:20,7.692307692,0,7.692307692
6/29/17 20:46,0,0,5.263157895
6/30/17 6:18,0,0,0
6/30/17 6:34,5.263157895,5.263157895,0
6/30/17 6:36,0,10.52631579,0
6/30/17 10:29,0,9.090909091,0
6/30/17 12:05,0,8.333333333,0
6/30/17 14:57,0,10,0
6/30/17 16:53,0,7.142857143,0
6/30/17 17:01,5.882352941,5.882352941,0
6/30/17 18:33,0,0,0
6/30/17 19:23,6.666666667,6.666666667,6.666666667
7/1/17 8:46,6.25,6.25,0
7/1/17 14:43,9.090909091,0,13.63636364
7/1/17 14:45,5.263157895,0,15.78947368
7/1/17 16:18,0,0,0
7/1/17 18:38,0,11.11111111,0
7/1/17 18:50,0,0,0
7/1/17 21:13,5.263157895,0,0
7/1/17 21:23,7.692307692,0,7.692307692
7/1/17 21:23,0,0,0
7/1/17 21:26,14.28571429,9.523809524,14.28571429
7/1/17 21:52,12.5,6.25,6.25
7/1/17 21:54,0,0,0
7/1/17 22:00,8.333333333,8.333333333,0
7/2/17 6:59,0,0,0
7/2/17 7:05,9.523809524,4.761904762,0
7/2/17 9:31,6.666666667,6.666666667,0
7/2/17 12:32,7.142857143,7.142857143,0
7/2/17 14:02,0,9.090909091,0
7/2/17 14:53,8.333333333,25,0
7/2/17 14:56,4.347826087,4.347826087,4.347826087
7/2/17 14:57,7.692307692,0,7.692307692
7/2/17 14:57,12.5,0,0
7/2/17 14:59,0,0,0
7/2/17 15:01,5,0,0
7/2/17 18:03,5.882352941,0,5.882352941
7/2/17 18:52,0,0,0
7/2/17 18:54,23.80952381,4.761904762,9.523809524
7/2/17 19:01,7.142857143,0,0
7/2/17 19:11,12.5,4.166666667,4.166666667
7/2/17 21:38,7.142857143,0,0
7/2/17 21:45,0,0,0
7/3/17 7:08,0,8.333333333,0
7/3/17 7:11,5.555555556,11.11111111,0
7/3/17 7:14,8.695652174,13.04347826,4.347826087
7/3/17 7:28,12.5,12.5,0
7/3/17 8:37,5,10,0
7/3/17 15:39,0,0,0
7/3/17 19:44,0,0,0
7/3/17 20:48,5.882352941,5.882352941,0
7/3/17 20:48,0,0,0
7/4/17 6:32,0,0,8.333333333
7/4/17 6:56,4.761904762,9.523809524,4.761904762
7/4/17 19:27,0,0,0
7/4/17 19:29,5.882352941,11.76470588,0
7/4/17 20:57,5.555555556,0,5.555555556
7/4/17 20:57,10.71428571,3.571428571,7.142857143
7/5/17 7:17,6.25,6.25,0
7/5/17 7:51,3.846153846,7.692307692,7.692307692
7/5/17 10:57,8.695652174,0,4.347826087
7/5/17 11:01,8.333333333,16.66666667,4.166666667
7/5/17 11:03,5.555555556,5.555555556,5.555555556
7/5/17 11:31,0,0,0
7/5/17 11:34,5.263157895,0,5.263157895
7/5/17 11:40,14.28571429,7.142857143,14.28571429
7/5/17 13:19,19.23076923,3.846153846,3.846153846
7/5/17 19:46,11.76470588,5.882352941,0
7/5/17 19:52,0,4.347826087,4.347826087
7/5/17 19:54,7.142857143,7.142857143,0
7/5/17 19:57,4.545454545,0,4.545454545
7/5/17 20:02,4.761904762,0,4.761904762
7/5/17 20:10,8.333333333,8.333333333,4.166666667
7/5/17 21:14,0,0,0
7/6/17 6:42,4.761904762,0,0
7/6/17 6:57,0,9.090909091,0
7/6/17 7:34,6.25,0,0
7/6/17 18:30,0,16.66666667,0
7/6/17 18:31,0,8.333333333,0
7/6/17 18:32,7.142857143,21.42857143,0
7/6/17 18:33,0,0,0
7/6/17 18:35,0,0,0
7/6/17 18:49,0,4.761904762,0
7/6/17 20:01,5.263157895,5.263157895,0
7/6/17 20:32,0,5.555555556,0
7/6/17 20:54,0,0,0
7/6/17 21:40,16.66666667,12.5,4.166666667
7/6/17 21:43,5.882352941,5.882352941,0
7/6/17 21:44,5.263157895,0,0
7/7/17 6:44,7.692307692,7.692307692,0
7/7/17 11:05,0,0,0
7/7/17 13:09,0,0,0
7/7/17 13:09,0,11.11111111,0
7/7/17 14:52,12.5,6.25,0
7/8/17 9:33,0,5,0
7/8/17 12:09,0,0,0
7/8/17 16:33,0,4.347826087,0
7/8/17 17:08,3.703703704,0,0
7/8/17 17:15,7.692307692,7.692307692,0
7/8/17 18:18,0,0,0
7/8/17 22:01,6.25,6.25,0
7/9/17 8:27,0,8.333333333,0
7/9/17 8:39,6.666666667,0,0
7/9/17 11:59,0,7.692307692,0
7/9/17 12:45,0,0,0
7/9/17 13:50,0,7.142857143,0
7/9/17 15:24,7.692307692,7.692307692,0
7/9/17 19:49,0,13.33333333,0
7/9/17 19:53,5.882352941,11.76470588,0
7/9/17 20:03,5.263157895,5.263157895,0
7/10/17 7:35,4.761904762,14.28571429,4.761904762
7/10/17 8:32,0,9.523809524,4.761904762
7/10/17 20:07,3.703703704,3.703703704,0
7/10/17 20:28,0,0,5.263157895
7/11/17 8:50,8.333333333,0,8.333333333
7/11/17 8:53,0,5.555555556,0
7/11/17 8:56,0,5.263157895,0
7/11/17 9:38,0,0,0
7/11/17 13:03,9.090909091,4.545454545,0
7/11/17 13:36,0,0,0
7/11/17 19:57,21.73913043,8.695652174,0
7/12/17 10:52,0,7.142857143,0
7/12/17 16:13,4.347826087,0,0
7/12/17 20:39,11.53846154,3.846153846,3.846153846
7/12/17 20:39,8.333333333,25,0
7/12/17 20:47,11.11111111,7.407407407,3.703703704
7/12/17 20:48,0,0,0
7/12/17 21:00,0,0,0
7/13/17 13:42,8.333333333,0,0
7/13/17 13:50,16.66666667,0,0
7/13/17 17:55,0,9.090909091,4.545454545
7/14/17 5:21,0,8.333333333,0
7/14/17 5:25,0,14.28571429,4.761904762
7/14/17 14:18,0,6.666666667,0
7/14/17 16:55,0,0,0
7/14/17 21:11,0,0,0
7/15/17 15:53,4.347826087,0,0
7/16/17 10:56,0,0,0
7/16/17 15:01,0,0,0
7/16/17 19:20,8.695652174,4.347826087,0
7/16/17 19:32,0,0,0
7/17/17 19:12,0,0,0
7/17/17 19:14,14.28571429,7.142857143,0
7/18/17 17:52,20,26.66666667,20
7/18/17 17:54,0,0,0
7/19/17 6:05,0,0,0
7/19/17 10:00,0,0,0
7/19/17 18:30,0,0,0
7/20/17 21:04,13.63636364,4.545454545,9.090909091
7/21/17 14:27,5.263157895,5.263157895,0
7/23/17 7:21,16.66666667,11.11111111,0
7/23/17 18:54,0,0,0
7/23/17 19:09,0,0,0
7/24/17 7:24,15,10,0
7/27/17 11:13,11.76470588,0,0
7/28/17 6:40,0,0,0
7/28/17 6:45,5.555555556,5.555555556,0
7/28/17 19:05,0,0,0
8/2/17 15:50,0,0,0
8/2/17 15:53,14.28571429,14.28571429,19.04761905
8/3/17 5:48,5.263157895,5.263157895,0
8/3/17 18:43,0,5.882352941,0
8/4/17 8:29,10,5,5
8/4/17 8:37,7.142857143,7.142857143,7.142857143
8/4/17 17:07,4.545454545,0,0
8/5/17 12:16,4.166666667,4.166666667,4.166666667
8/5/17 15:56,5.882352941,5.882352941,0
8/5/17 20:15,0,0,10
8/6/17 11:03,0,0,0
8/6/17 18:16,14.28571429,14.28571429,4.761904762
8/6/17 19:08,0,6.666666667,0
8/7/17 4:59,0,0,0
8/7/17 16:11,4.545454545,0,0
8/7/17 16:21,0,0,0
8/7/17 16:22,10,10,10
8/7/17 16:56,0,0,10
8/7/17 16:56,0,0,0
8/7/17 17:00,5.882352941,5.882352941,0
8/7/17 18:09,0,16.66666667,16.66666667
8/9/17 18:00,8.333333333,0,0
8/10/17 12:46,0,0,0
8/10/17 16:38,0,12.5,0
8/11/17 18:46,15.78947368,5.263157895,10.52631579
8/11/17 18:55,12.5,6.25,6.25
8/11/17 19:06,7.692307692,23.07692308,0
8/11/17 19:23,0,0,0
8/12/17 11:04,0,0,0
